Project,Package,Class,Method,CFG
foo,profiling.constraint.analysis.stack,ArithmeticExpression,copy,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,getPostfixExpression,n0->n34:n1->n2:n1->n3:n2->n34:n3->n4:n3->n5:n4->n34:n5->n6:n5->n12:n6->n9:n7->n8:n7->n9:n8->n9:n9->n10:n9->n34:n10->n7:n10->n11:n11->n34:n12->n13:n12->n20:n13->n14:n13->n20:n14->n15:n14->n20:n15->n16:n15->n20:n16->n17:n16->n20:n17->n18:n17->n20:n18->n19:n18->n20:n19->n20:n19->n24:n20->n21:n20->n23:n21->n22:n21->n23:n22->n23:n23->n34:n24->n25:n24->n27:n25->n26:n25->n27:n26->n27:n26->n33:n27->n28:n27->n32:n28->n29:n28->n31:n29->n30:n29->n31:n30->n31:n30->n32:n31->n32:n32->n34:n33->n34:n34->n1:n34->n35:n35->n37:n36->n37:n37->n36:n37->n38:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,handleParenthesis,n0->n1:n0->n6:n1->n2:n1->n4:n2->n3:n2->n6:n3->n6:n4->n5:n4->n6:n5->n6:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,getType,n0->n1:n0->n30:n1->n6:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n2:n6->n7:n7->n11:n8->n9:n8->n10:n9->n10:n10->n11:n11->n8:n11->n12:n12->n13:n12->n14:n13->n30:n14->n15:n14->n16:n15->n16:n15->n17:n16->n30:n17->n18:n17->n19:n18->n19:n18->n20:n19->n30:n20->n21:n20->n22:n21->n22:n21->n23:n22->n30:n23->n24:n23->n25:n24->n25:n24->n26:n25->n30:n26->n27:n26->n28:n27->n28:n27->n29:n28->n30:n29->n30:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,hasMethodElement,n0->n6:n1->n2:n1->n4:n2->n3:n2->n4:n4->n5:n4->n6:n6->n1:n6->n7:
foo,profiling.constraint.project,Benchmark,countAllClasses,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countUnsolvableConstraintSequences,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countInitMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countAnalyzedMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countAbstractMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countAllMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countConstraintSequences,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Benchmark,countGetSetMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.bytecode.instructionhandler,InvokeHandler,handle,n0->n1:n0->n2:n2->n6:n3->n4:n3->n5:n4->n5:n5->n6:n6->n3:n6->n7:n7->n8:n7->n9:n8->n18:n9->n10:n9->n11:n10->n11:n11->n12:n11->n13:n12->n13:n13->n14:n13->n15:n14->n16:n15->n16:n16->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n25:n20->n21:n20->n24:n21->n22:n21->n23:n22->n25:n23->n25:n24->n25:n25->n26:n25->n27:n26->n27:n26->n28:n27->n28:n28->n29:n28->n30:n29->n30:n30->n33:n31->n32:n31->n33:n32->n33:n33->n31:n33->n34:n34->n35:n34->n36:n35->n36:
foo,profiling.constraint.analysis,Constraint,isNonLinearExpression,n0->n1:n0->n14:n1->n2:n1->n4:n2->n3:n2->n14:n4->n5:n4->n7:n5->n6:n5->n7:n7->n8:n7->n14:n8->n9:n8->n10:n10->n13:n11->n12:n11->n13:n13->n11:n13->n14:
foo,profiling.constraint.analysis,Constraint,init,n0->n1:n0->n2:n1->n3:n2->n3:
foo,profiling.constraint.analysis,Constraint,toString,n0->n1:n0->n2:
foo,profiling.constraint.analysis,Constraint,toString2,n0->n1:n0->n2:
foo,profiling.constraint.analysis,Constraint,copy,n0->n1:n0->n2:n1->n3:n2->n3:
foo,profiling.constraint.analysis,Constraint,negate,n0->n1:n0->n2:
foo,profiling.constraint.analysis,Constraint,findType,n0->n1:n0->n2:n2->n3:n2->n5:n3->n4:n3->n5:n4->n5:n5->n9:n6->n7:n6->n8:n7->n8:n8->n9:n9->n6:n9->n10:n10->n11:n10->n12:n11->n21:n12->n13:n12->n14:n13->n21:n14->n15:n14->n16:n15->n21:n16->n17:n16->n18:n17->n21:n18->n19:n18->n20:n19->n21:n20->n21:
foo,profiling.constraint.analysis,Constraint,isUnsolvable,n0->n1:n0->n3:n1->n2:n1->n3:n2->n3:n2->n4:n4->n5:n4->n7:n5->n6:n5->n7:n7->n8:n7->n20:n8->n9:n8->n20:n9->n10:n9->n20:n10->n11:n10->n12:n12->n13:n12->n16:n13->n14:n13->n15:n13->n16:n15->n16:n16->n17:n16->n20:n17->n18:n17->n19:n17->n20:n19->n20:n20->n21:n20->n27:n21->n22:n21->n27:n22->n23:n22->n27:n23->n24:n23->n27:n24->n25:n24->n27:n25->n26:n25->n27:n27->n28:n27->n34:n28->n29:n28->n34:n29->n30:n29->n34:n30->n31:n30->n34:n31->n32:n31->n34:n32->n33:n32->n34:
foo,profiling.constraint.analysis,Constraint,negate,n0->n1:n0->n6:n1->n2:n1->n6:n2->n3:n2->n6:n3->n4:n3->n6:n4->n5:n4->n6:n5->n6:n5->n7:n7->n8:n7->n33:n8->n9:n8->n33:n9->n10:n9->n14:n10->n11:n10->n13:n11->n12:n11->n13:n12->n13:n12->n14:n14->n15:n14->n17:n15->n16:n15->n17:n17->n18:n17->n22:n18->n19:n18->n21:n19->n20:n19->n21:n20->n21:n20->n22:n22->n23:n22->n25:n23->n24:n23->n25:n25->n26:n25->n30:n26->n27:n26->n29:n27->n28:n27->n29:n28->n29:n28->n30:n30->n31:n30->n33:n31->n32:n31->n33:n33->n34:n33->n59:n34->n35:n34->n59:n35->n36:n35->n40:n36->n37:n36->n39:n37->n38:n37->n39:n38->n39:n38->n40:n40->n41:n40->n43:n41->n42:n41->n43:n43->n44:n43->n48:n44->n45:n44->n47:n45->n46:n45->n47:n46->n47:n46->n48:n48->n49:n48->n51:n49->n50:n49->n51:n51->n52:n51->n56:n52->n53:n52->n55:n53->n54:n53->n55:n54->n55:n54->n56:n56->n57:n56->n59:n57->n58:n57->n59:
foo,profiling.constraint.analysis,Constraint,hasNonLinearExpression,n0->n1:n0->n2:n1->n2:n1->n3:
foo,profiling.constraint.analysis.stack,ArithmeticOperator,init,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.analysis,ConstraintInfo,handleMethodCall,n0->n1:n0->n3:n1->n2:n1->n3:n2->n3:n3->n5:n4->n5:n5->n4:n5->n6:n6->n7:n6->n8:n7->n8:
foo,profiling.constraint.analysis,ConstraintInfo,sumDataAndTypeComparison,n0->n7:n1->n3:n2->n3:n3->n2:n3->n4:n4->n6:n5->n6:n6->n5:n6->n7:n7->n1:n7->n8:
foo,profiling.constraint.analysis,ConstraintInfo,calculateMean,n0->n6:n1->n5:n2->n3:n2->n4:n3->n5:n4->n5:n5->n2:n5->n6:n6->n1:n6->n7:n7->n9:n8->n9:n9->n8:n9->n10:n10->n12:n11->n12:n12->n11:n12->n13:n13->n15:n14->n15:n15->n14:n15->n16:n16->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n20:n20->n21:n20->n22:n21->n22:n22->n23:n22->n24:n23->n24:n24->n25:n24->n26:n25->n26:n26->n27:n26->n28:n27->n28:n28->n29:n28->n30:n29->n30:n30->n31:n30->n32:n31->n32:n32->n33:n32->n34:n33->n34:n34->n35:n34->n36:n35->n36:n36->n37:n36->n38:n37->n38:n38->n39:n38->n40:n39->n40:n40->n41:n40->n42:n41->n42:n42->n43:n42->n44:n43->n44:n44->n45:n44->n46:n45->n46:n46->n47:n46->n48:n47->n48:n48->n49:n48->n50:n49->n50:n50->n51:n50->n52:n51->n52:n52->n53:n52->n54:n53->n54:n54->n55:n54->n56:n55->n56:n56->n57:n56->n58:n57->n58:n58->n59:n58->n60:n59->n60:n60->n61:n60->n62:n61->n62:n62->n63:n62->n64:n63->n64:n64->n65:n64->n66:n65->n66:n66->n67:n66->n68:n67->n68:
foo,profiling.constraint.analysis,ConstraintInfo,handleConstant,n0->n1:n0->n2:n1->n3:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfo,handleNewArray,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfo,handleArithmeticExpression,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfo,init,n0->n24:n1->n2:n1->n3:n2->n3:n3->n7:n4->n5:n4->n6:n5->n7:n6->n7:n7->n4:n7->n8:n8->n12:n9->n10:n9->n11:n10->n12:n11->n12:n12->n9:n12->n13:n13->n17:n14->n15:n14->n16:n15->n17:n16->n17:n17->n14:n17->n18:n18->n20:n19->n20:n20->n19:n20->n21:n21->n23:n22->n23:n23->n22:n23->n24:n24->n1:n24->n25:
foo,profiling.constraint.analysis,ConstraintInfo,handleVariable,n0->n1:n0->n3:n1->n2:n1->n3:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfo,getTypeAmount,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.analysis,ConstraintInfo,init,n0->n1:n0->n3:n1->n2:n1->n3:n2->n3:
foo,profiling.constraint.analysis,ConstraintInfo,extractInfo,n0->n1:n0->n2:n2->n3:n2->n4:n3->n16:n4->n5:n4->n6:n5->n16:n6->n7:n6->n8:n7->n16:n8->n9:n8->n10:n9->n16:n10->n11:n10->n12:n11->n16:n12->n13:n12->n14:n13->n16:n14->n15:n14->n16:n15->n16:
foo,profiling.constraint.analysis,ConstraintInfo,extractTypesOfComparison,n0->n1:n0->n107:n1->n2:n1->n107:n2->n3:n2->n5:n3->n4:n3->n5:n4->n5:n5->n6:n5->n8:n6->n7:n6->n8:n7->n8:n8->n9:n8->n11:n9->n10:n9->n11:n10->n11:n11->n12:n11->n14:n12->n13:n12->n14:n13->n14:n14->n15:n14->n17:n15->n16:n15->n17:n16->n17:n17->n18:n17->n20:n18->n19:n18->n20:n19->n20:n20->n21:n20->n23:n21->n22:n21->n23:n22->n23:n23->n24:n23->n26:n24->n25:n24->n26:n25->n26:n26->n27:n26->n29:n27->n28:n27->n29:n28->n29:n29->n30:n29->n32:n30->n31:n30->n32:n31->n32:n32->n33:n32->n35:n33->n34:n33->n35:n34->n35:n35->n36:n35->n38:n36->n37:n36->n38:n37->n38:n38->n39:n38->n41:n39->n40:n39->n41:n40->n41:n41->n42:n41->n44:n42->n43:n42->n44:n43->n44:n44->n45:n44->n47:n45->n46:n45->n47:n46->n47:n47->n48:n47->n50:n48->n49:n48->n50:n49->n50:n50->n51:n50->n53:n51->n52:n51->n53:n52->n53:n53->n54:n53->n56:n54->n55:n54->n56:n55->n56:n56->n57:n56->n59:n57->n58:n57->n59:n58->n59:n59->n60:n59->n62:n60->n61:n60->n62:n61->n62:n62->n63:n62->n65:n63->n64:n63->n65:n64->n65:n65->n66:n65->n68:n66->n67:n66->n68:n67->n68:n68->n69:n68->n71:n69->n70:n69->n71:n70->n71:n71->n72:n71->n74:n72->n73:n72->n74:n73->n74:n74->n75:n74->n77:n75->n76:n75->n77:n76->n77:n77->n78:n77->n80:n78->n79:n78->n80:n79->n80:n80->n81:n80->n83:n81->n82:n81->n83:n82->n83:n83->n84:n83->n86:n84->n85:n84->n86:n85->n86:n86->n87:n86->n89:n87->n88:n87->n89:n88->n89:n89->n90:n89->n92:n90->n91:n90->n92:n91->n92:n92->n93:n92->n95:n93->n94:n93->n95:n94->n95:n95->n96:n95->n98:n96->n97:n96->n98:n97->n98:n98->n99:n98->n101:n99->n100:n99->n101:n100->n101:n101->n102:n101->n104:n102->n103:n102->n104:n103->n104:n104->n105:n104->n107:n105->n106:n105->n107:n106->n107:
foo,profiling.constraint.bytecode.instructionhandler,CopyOfArrayHandler,isStoreInstruction,n0->n1:n0->n8:n1->n2:n1->n8:n2->n3:n2->n8:n3->n4:n3->n8:n4->n5:n4->n8:n5->n6:n5->n8:n6->n7:n6->n8:n7->n8:n7->n9:
foo,profiling.constraint.bytecode.instructionhandler,CopyOfArrayHandler,handle,n0->n1:n0->n2:n1->n20:n2->n3:n2->n7:n3->n5:n4->n5:n5->n4:n5->n6:n6->n20:n7->n8:n7->n9:n8->n20:n9->n10:n9->n11:n10->n20:n11->n12:n11->n19:n12->n13:n12->n14:n13->n14:n14->n15:n14->n18:n15->n16:n15->n18:n16->n17:n16->n18:n17->n18:n18->n20:n19->n20:
foo,profiling.constraint.bytecode.instructionhandler,JSRHandler,handle,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.bytecode.instructionhandler,PushHandler,handle,n0->n1:n0->n2:n1->n4:n2->n3:n2->n4:n3->n4:
foo,profiling.constraint.analysis.stack,MethodCall,setVisited,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,MethodCall,isVariableElement,n0->n1:n0->n3:n1->n2:n1->n3:n3->n4:n3->n5:n5->n6:n5->n7:n7->n8:n7->n9:
foo,profiling.constraint.analysis.stack,MethodCall,hasMethodElement,n0->n1:n0->n3:n1->n2:n1->n3:
foo,profiling.constraint.analysis.stack,MethodCall,isNonLinear,n0->n1:n0->n2:n1->n2:n1->n9:n2->n8:n3->n4:n3->n6:n4->n5:n4->n6:n5->n6:n5->n8:n6->n7:n6->n8:n8->n3:n8->n9:n9->n10:n9->n12:n10->n11:n10->n12:
foo,profiling.constraint.analysis.stack,MethodCall,toString,n0->n1:n0->n9:n1->n3:n2->n3:n3->n2:n3->n4:n4->n5:n4->n7:n5->n6:n5->n7:n6->n8:n7->n8:n8->n9:n9->n13:n10->n11:n10->n12:n11->n12:n12->n13:n13->n10:n13->n14:
foo,profiling.constraint.analysis.stack,MethodCall,copy,n0->n1:n0->n2:n1->n2:n2->n4:n3->n4:n4->n3:n4->n5:
foo,profiling.constraint.analysis.info,Utils,isNull,n0->n1:n0->n2:
foo,profiling.constraint.analysis.info,Utils,isRef,n0->n1:n0->n2:
foo,profiling.constraint.analysis.info,Utils,isBool,n0->n1:n0->n2:
foo,profiling.constraint.analysis.info,Utils,isInt,n0->n1:n0->n4:n1->n2:n1->n4:n2->n3:n2->n4:n3->n4:n3->n5:
foo,profiling.constraint.analysis.info,Utils,isArray,n0->n1:n0->n3:n1->n2:n1->n3:
foo,profiling.constraint.analysis.info,Utils,isNonLinearMethod,n0->n1:n0->n2:n1->n2:n2->n3:n2->n11:n3->n10:n4->n5:n4->n7:n5->n6:n5->n9:n7->n8:n7->n9:n9->n10:n10->n4:n10->n11:
foo,profiling.constraint.analysis.info,Utils,isFloat,n0->n1:n0->n2:n1->n2:n1->n3:
foo,profiling.constraint.analysis.info,Utils,standardType,n0->n1:n0->n2:n2->n3:n2->n4:n4->n5:n4->n6:n6->n7:n6->n8:n8->n9:n8->n10:n10->n11:n10->n12:n12->n13:n12->n14:n14->n15:n14->n16:n16->n17:n16->n18:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,applyUpdateOnVariable,n0->n1:n0->n5:n1->n2:n1->n3:n2->n5:n3->n4:n3->n5:n4->n5:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,applyUpdate,n0->n1:n0->n15:n1->n2:n1->n3:n2->n3:n3->n4:n3->n7:n4->n5:n4->n7:n5->n6:n5->n7:n6->n7:n7->n8:n7->n14:n8->n10:n9->n10:n10->n11:n10->n12:n11->n9:n11->n12:n12->n13:n12->n14:n13->n14:n15->n16:n15->n17:n16->n41:n17->n18:n17->n30:n18->n20:n19->n20:n20->n19:n20->n21:n21->n22:n21->n23:n22->n23:n23->n28:n24->n25:n24->n26:n25->n27:n26->n27:n27->n28:n28->n24:n28->n29:n29->n41:n30->n31:n30->n34:n31->n32:n31->n33:n32->n41:n33->n41:n34->n35:n34->n41:n35->n40:n36->n37:n36->n38:n37->n39:n38->n39:n39->n40:n40->n36:n40->n41:n41->n42:n41->n43:n42->n43:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,needsToPrint,n0->n1:n0->n2:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,getConstraintSequenceElements,n0->n1:n0->n11:n1->n10:n2->n3:n2->n9:n3->n4:n3->n5:n4->n9:n5->n6:n5->n9:n6->n8:n7->n8:n8->n7:n8->n9:n9->n10:n10->n2:n10->n11:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,applyUpdateOnMethodCall,n0->n2:n1->n2:n2->n3:n2->n4:n3->n1:n3->n4:n4->n5:n4->n6:n5->n6:n6->n11:n7->n8:n7->n9:n8->n10:n9->n10:n10->n11:n11->n7:n11->n12:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,replaceVariable,n0->n1:n0->n2:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,replaceConstraint,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n4->n6:n5->n6:n6->n5:n6->n7:
foo,profiling.constraint.analysis,CopyOfConstraintSequenceGenerator,replaceExpression,n0->n1:n0->n2:n1->n2:n2->n6:n3->n4:n3->n5:n4->n5:n5->n6:n6->n3:n6->n7:
foo,profiling.constraint.bytecode.instructionhandler,ArithmeticHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n8:n8->n9:n8->n10:n9->n10:n10->n11:n10->n12:n11->n12:n12->n13:n12->n14:n13->n14:n14->n15:n14->n16:n15->n16:n16->n17:n16->n18:n17->n18:n18->n19:n18->n20:n19->n20:n20->n21:n20->n22:n21->n23:n22->n23:
foo,profiling.constraint.analysis.stack,RelationalOperator,negate,n0->n1:n0->n2:n1->n11:n2->n3:n2->n4:n3->n11:n4->n5:n4->n6:n5->n11:n6->n7:n6->n8:n7->n11:n8->n9:n8->n10:n9->n11:n10->n11:
foo,profiling.constraint.graph,GraphUtils,getNumberOfExitNodes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.graph,GraphUtils,getNumberOfEntryNodes,n0->n5:n1->n2:n1->n5:n2->n3:n2->n4:n3->n4:n4->n5:n5->n1:n5->n6:n6->n7:n6->n9:n7->n8:n7->n9:n8->n9:
foo,profiling.constraint.graph,GraphUtils,produceGraphVizOutput,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.graph,GraphUtils,checkNodesReachableFromEntryNode,n0->n3:n1->n2:n1->n3:n3->n1:n3->n4:
foo,profiling.constraint.graph,GraphUtils,checkValidGraph,n0->n1:n0->n2:
foo,profiling.constraint.graph,GraphUtils,checkNodesThatReachesExitNodes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:n4->n11:n5->n8:n6->n7:n6->n8:n7->n9:n8->n6:n8->n9:n9->n10:n9->n11:n11->n5:n11->n12:
foo,profiling.constraint.bytecode.instructionhandler,SwitchHandler,handle,n0->n1:n0->n10:n1->n3:n2->n3:n3->n2:n3->n4:n4->n9:n5->n6:n5->n8:n6->n7:n6->n8:n7->n8:n8->n9:n9->n5:n9->n10:n10->n11:n10->n20:n11->n13:n12->n13:n13->n12:n13->n14:n14->n19:n15->n16:n15->n18:n16->n17:n16->n18:n17->n18:n18->n19:n19->n15:n19->n20:n20->n30:n21->n22:n21->n23:n22->n23:n23->n24:n23->n29:n24->n25:n24->n26:n25->n29:n26->n28:n27->n28:n28->n27:n28->n29:n29->n30:n30->n21:n30->n31:
foo,profiling.constraint.bytecode.instructionhandler,IfHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n41:n7->n8:n7->n9:n8->n9:n9->n10:n9->n11:n10->n11:n11->n12:n11->n13:n12->n13:n13->n14:n13->n15:n14->n15:n15->n16:n15->n17:n16->n17:n17->n18:n17->n19:n18->n19:n19->n20:n19->n21:n20->n23:n21->n22:n21->n23:n22->n23:n23->n24:n23->n33:n24->n25:n24->n31:n25->n26:n25->n31:n26->n27:n26->n31:n27->n28:n27->n31:n28->n29:n28->n31:n29->n30:n29->n31:n30->n31:n30->n32:n31->n34:n32->n34:n33->n34:n34->n35:n34->n40:n35->n36:n35->n39:n36->n37:n36->n38:n37->n43:n38->n43:n39->n43:n40->n43:n41->n42:n41->n43:n42->n43:
foo,profiling.constraint.bytecode.instructionhandler,StackHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n6:n3->n4:n3->n5:n4->n6:n5->n6:n6->n7:n6->n19:n7->n8:n7->n16:n8->n9:n8->n16:n9->n10:n9->n16:n10->n11:n10->n16:n11->n12:n11->n16:n12->n13:n12->n16:n13->n14:n13->n15:n14->n16:n15->n16:n16->n17:n16->n18:n17->n18:n18->n19:n19->n20:n19->n28:n20->n21:n20->n25:n21->n22:n21->n25:n22->n23:n22->n25:n23->n24:n23->n25:n24->n25:n25->n26:n25->n27:n26->n27:n27->n28:n28->n29:n28->n39:n29->n30:n29->n34:n30->n31:n30->n34:n31->n32:n31->n34:n32->n33:n32->n34:n33->n34:n34->n35:n34->n36:n35->n36:n36->n37:n36->n38:n37->n38:n38->n39:n39->n40:n39->n50:n40->n41:n40->n45:n41->n42:n41->n45:n42->n43:n42->n45:n43->n44:n43->n45:n44->n45:n45->n46:n45->n47:n46->n47:n47->n48:n47->n49:n48->n49:n49->n50:n50->n51:n50->n52:n51->n52:n52->n53:n52->n55:n53->n54:n53->n55:n54->n55:n55->n56:n55->n60:n56->n57:n56->n58:n57->n58:n58->n59:n58->n60:n59->n60:
foo,profiling.constraint.bytecode.instructionhandler,StoreHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n7:n5->n6:n5->n7:n6->n7:
foo,profiling.constraint.analysis,PathGenerator,iterateLoopPaths,n0->n1:n0->n15:n1->n14:n2->n13:n3->n4:n3->n12:n4->n5:n4->n12:n5->n6:n5->n7:n6->n7:n7->n9:n8->n9:n9->n8:n9->n10:n10->n11:n10->n12:n11->n12:n12->n13:n13->n3:n13->n14:n14->n2:n14->n15:n15->n30:n16->n29:n17->n18:n17->n29:n18->n28:n19->n26:n20->n22:n21->n22:n22->n21:n22->n23:n23->n24:n23->n25:n24->n25:n25->n26:n26->n20:n26->n27:n27->n28:n28->n19:n28->n29:n29->n17:n29->n30:n30->n16:n30->n31:
foo,profiling.constraint.analysis,PathGenerator,expandCFG,n0->n2:n1->n2:n2->n1:n2->n3:n3->n5:n4->n5:n5->n4:n5->n6:n6->n15:n7->n14:n8->n9:n8->n12:n9->n10:n9->n11:n10->n11:n11->n12:n12->n13:n12->n14:n13->n14:n14->n8:n14->n15:n15->n7:n15->n16:
foo,profiling.constraint.analysis,PathGenerator,generateAllPaths,n0->n2:n1->n2:n2->n1:n2->n3:n3->n8:n4->n6:n5->n6:n6->n5:n6->n7:n7->n8:n8->n4:n8->n9:
foo,profiling.constraint.analysis,PathGenerator,convertStrPathToPath,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,PathGenerator,calculateLoopCount,n0->n11:n1->n2:n1->n11:n2->n3:n2->n4:n3->n11:n4->n10:n5->n6:n5->n10:n6->n7:n6->n10:n7->n8:n7->n10:n8->n9:n8->n10:n9->n10:n10->n5:n10->n11:n11->n1:n11->n12:n12->n26:n13->n25:n14->n15:n14->n19:n15->n16:n15->n19:n16->n17:n16->n19:n17->n18:n17->n19:n18->n19:n19->n20:n19->n24:n20->n21:n20->n24:n21->n22:n21->n24:n22->n23:n22->n24:n23->n24:n24->n25:n25->n14:n25->n26:n26->n13:n26->n27:
foo,profiling.constraint.analysis,PathGenerator,visit,n0->n1:n0->n2:n1->n2:n2->n3:n2->n12:n3->n4:n3->n8:n4->n5:n4->n7:n5->n6:n5->n13:n6->n13:n7->n13:n8->n10:n9->n10:n10->n9:n10->n11:n11->n13:n12->n13:
foo,profiling.constraint.analysis,PathGenerator,generateAllPaths,n0->n2:n1->n2:n2->n1:n2->n3:n3->n5:n4->n5:n5->n4:n5->n6:n6->n11:n7->n9:n8->n9:n9->n8:n9->n10:n10->n11:n11->n7:n11->n12:
foo,profiling.constraint.analysis,PathGenerator,generateAllStrPaths,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n5:n4->n5:
foo,profiling.constraint.analysis,PathGenerator,countElements,n0->n4:n1->n2:n1->n3:n2->n3:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.analysis,PathGenerator,generateAllDistinctPaths,n0->n1:n0->n23:n1->n4:n2->n3:n2->n4:n3->n4:n4->n2:n4->n5:n5->n8:n6->n7:n6->n8:n7->n8:n8->n6:n8->n9:n9->n21:n10->n11:n10->n17:n11->n15:n12->n13:n12->n14:n13->n14:n14->n15:n15->n16:n15->n17:n16->n12:n16->n17:n17->n19:n18->n19:n19->n18:n19->n20:n20->n21:n21->n10:n21->n22:n22->n24:n23->n24:
foo,profiling.constraint.analysis,PathGenerator,pathToStr,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,PathGenerator,getIterationPaths,n0->n2:n1->n2:n2->n1:n2->n3:n3->n8:n4->n6:n5->n6:n6->n5:n6->n7:n7->n8:n8->n4:n8->n9:
foo,profiling.constraint.ui,CP4SE,analyzeProject,n0->n1:n1->n2:n1->n3:n1->n25:n2->n3:n2->n25:n3->n4:n3->n5:n3->n25:n4->n5:n4->n25:n5->n21:n5->n25:n6->n7:n6->n21:n6->n25:n7->n8:n7->n21:n7->n25:n8->n9:n8->n21:n8->n25:n9->n10:n9->n21:n9->n25:n10->n11:n10->n21:n10->n25:n11->n12:n11->n21:n11->n25:n12->n13:n12->n21:n12->n25:n13->n14:n13->n21:n13->n25:n14->n19:n14->n25:n15->n16:n15->n17:n15->n25:n16->n17:n16->n25:n17->n18:n17->n19:n17->n25:n18->n19:n18->n25:n19->n15:n19->n20:n19->n25:n20->n21:n20->n25:n21->n6:n21->n22:n21->n25:n22->n23:n22->n24:n22->n25:n23->n24:n23->n25:n24->n25:n24->n26:n25->n26:
foo,profiling.constraint.ui,CP4SE,main,n0->n1:n0->n2:n1->n8:n2->n3:n2->n4:n3->n7:n4->n5:n4->n6:n5->n7:n6->n7:n7->n8:
foo,profiling.constraint.ui,CP4SE,analyzeBenchmark,n0->n1:n1->n5:n1->n7:n2->n3:n2->n4:n2->n7:n3->n4:n3->n7:n4->n5:n4->n7:n5->n2:n5->n6:n5->n7:n6->n7:n6->n8:n7->n8:n8->n9:n9->n10:n9->n11:n10->n11:
foo,profiling.constraint.analysis.info,PathMetric,hasElements,n0->n1:n0->n2:
foo,profiling.constraint.analysis.info,PathMetric,init,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.info,PathMetric,init,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.bytecode.instructionhandler,GenericHandler,handle,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.bytecode,CFGBuilder,getIhIndex,n0->n4:n1->n2:n1->n3:n3->n4:n4->n1:n4->n5:
