Project,Package,Class,Method,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY
foo,profiling.constraint.graph,CFG,changeEdgeLabels,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,LoadHandler,handle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.graph,JGraphTUtils,computeStronglyConnectedNodes,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.graph,JGraphTUtils,transformIntoDirectedGraph,0.0,0.0,0.0,2.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.graph,JGraphTUtils,getInstance,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.graph,JGraphTUtils,getShortestPath,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.4,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,getConstraintSequenceElements,1.5714285,0.0,0.0,1.4285715,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.71428573,0.0,0.0,0.0,2.2857144,0.0,0.71428573,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,applyUpdateOnMethodCall,1.6666666,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,1.6666666,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceConstraint,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceVariable,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceExpression,1.6666666,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,applyUpdateOnVariable,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,applyUpdate,0.54545456,0.0,0.0,5.3636365,0.0,0.0,0.0,0.0,0.0,1.0909091,0.0,0.0,0.13636364,0.0,0.0,0.0,4.8636365,0.0,0.18181819,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceArrayElement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintSequenceGenerator,replaceStaticClass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,HandlerFactory,createInstructionHandler,0.0,0.0,0.0,15.466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.466666,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isXCMPInstruction,0.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isInstanceOfIfInstruction,0.0,0.0,0.0,4.888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.888889,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isNEG,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isInstanceOfXCONST,0.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isArrayInstruction,0.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isType2TypeInstruction,0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,BytecodeUtils,isInstanceOfIfReturn,0.0,0.0,0.0,4.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,hasConstraintElements,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,generatecontvet,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
foo,profiling.constraint.project,Method,pathsMetricToCSV,0.0,0.0,0.0,4.1666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1666665,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,calcCC,1.0,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,3.3333333,0.0,0.8333333,0.0,0.0
foo,profiling.constraint.project,Method,isIn,1.3333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0
foo,profiling.constraint.project,Method,getPlanEdges,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,sortNodes,3.8333333,0.0,0.0,1.1666666,0.0,0.0,0.0,0.16666667,0.0,1.0,0.0,0.8333333,0.0,1.5,0.0,0.0,1.1666666,0.0,0.0,0.0,0.33333334
foo,profiling.constraint.project,Method,meanMetricToCSV,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,calculateMetrics,2.6666667,0.0,0.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,5.5833335,0.0,0.083333336,0.0,0.0
foo,profiling.constraint.project,Method,printComparisonsToCSV,2.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,2.0,0.0,0.0
foo,profiling.constraint.project,Method,getPackageName,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,calculateCyclomaticComplexity,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.6,0.0,0.6,0.0,0.0
foo,profiling.constraint.project,Method,getClassName,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,meanMetricToCSV_short,0.33333334,0.0,0.0,3.7777777,0.0,0.0,0.0,0.0,0.0,1.3333334,0.0,0.0,0.0,0.0,0.0,0.0,3.4444444,0.0,0.33333334,0.0,0.0
foo,profiling.constraint.project,Method,constraintsToCSV,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Method,pathsMetricToCSV_short,0.0,0.0,0.0,4.1666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1666665,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.stack,NewArray,toString,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.stack,NewArray,setVisited,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.stack,RelationalExpression,getType,2.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
foo,profiling.constraint.graph,CombinedCFG,joinCFGs,3.5,0.0,0.0,2.625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,1.125,0.0,0.0,3.875,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,FieldHandler,handle,3.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4666667,0.0,4.0666666,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,NewHandler,handle,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.75,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,AbstractHandler,getVariableName,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,AbstractHandler,getVariableType,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,ArrayHandler,handle,0.2,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667,0.0,0.0,0.0,7.3333335,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,ArrayHandler,isStoreInstruction,0.0,0.0,0.0,4.888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.888889,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,increment,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,calculateMean,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,getObjectTypes,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,getPrimitiveTypes,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,increment,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,getArrayTypes,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.info,MethodCallInfo,getDistinctObjectTypes,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,IINCHandler,handle,1.0,0.0,0.0,1.7142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.stack,Variable,toString,0.0,0.0,0.0,1.0,0.0,0.6666667,0.0,0.0,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.stack,Variable,setVisited,0.0,0.0,0.0,0.6666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis.stack,Variable,copy,0.0,0.0,0.0,0.6666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,ReturnHandler,handle,0.0,0.0,0.0,4.714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714286,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,getVetEdges,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,checkForEnsuredUnsolvability,3.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,containsNode,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,checkForLinearity,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,containsEdge,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,toString,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,Path,getVetNodes,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
